Response ID,Select which type of data to enter:,Outreach team member:,Date of contact:,Stakeholder's name and title:,How did they hear about the program?,Other (please specify):How did they hear about the program?,Is this stakeholder a new contact?,Who initiated the contact?,Method of interaction:,Stakeholder type:,Other (please specify)::Stakeholder type:,Was a feedback form distributed?:Complete the following:,Did the stakeholder request information?:Complete the following:,Was the stakeholder given program materials during the interaction?:Complete the following:,Date range of submission(s):,Facebook posts:Number of social media postings submitted:,Tweets:Number of social media postings submitted:,Full-length videos:Number of social media postings submitted:,Digital shorts:Number of social media postings submitted:,Livestreaming:Number of social media postings submitted:,Name of video (if applicable):,Outreach team member:,Name of event or distribution:,Date of event or distribution:,Event or distribution type:,Other (please specify):Event or distribution type:,Workforce:Number of participants:,Business:Number of participants:,CAC/CDCAB members:Number of participants:,Civic/church group members:Number of participants:,CSEPP Immediate Reaction Zone residents:Number of participants:,Elected officials:Number of participants:,Emergency management:Number of participants:,Local schools:Number of participants:,Media:Number of participants:,Oversight/regulatory agency members:Number of participants:,CSEPP Protective Action Zone residents:Number of participants:,Other:Number of participants:,Number:Information packets distributed:Complete the following:,Number:Feedback forms distributed:Complete the following:,Number:Feedback forms collected:Complete the following:
297,Individual contact,Team Member 1,2/21/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Individual contact,Team Member 2,2/20/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Blue Grass Technicians Test Plant Fire-Alarm Systems,2/23/17,News Article,,,,,,,,,,,,,0,0,0,0
300,Social media submission,,,,,,,,,,,,,,2/23/17,1,2,,,,Note: for Blue Grass Technicians Test Plant Fire-Alarm Systems  news article,,,,,,,,,,,,,,,,,,,,
301,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Engineers Week-Waco Elementary,2/20/17,Education Outreach Event,,1,,,,,,,78,,,,,0,0,0
303,Social media submission,,,,,,,,,,,,,,2/18/17,1,2,,,,Note: for Blue Grass Paramedics Earn Army Recognition  article,,,,,,,,,,,,,,,,,,,,
304,Social media submission,,,,,,,,,,,,,,2/17/17,1,2,,,,Note: for Blue Grass Teams Work Together to Save Project Money article,,,,,,,,,,,,,,,,,,,,
305,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Engineers Week Clark-Moores Middle School,2/22/17,Education Outreach Event,,1,,,,,,,60,,,,,0,0,0
306,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Engineers Week-Whitehall Elementary School,2/24/17,Education Outreach Event,,2,,,,,,,75,,,,,0,0,0
307,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Blue Grass Bulletin distribution,2/28/17,Digital communications distribution,,933,,,,,,,,,,,6,0,0,0
308,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,PEO ACWA Weekly News Clips,2/6/17,Digital communications distribution,,301,,,,,,2,,,7,,,0,0,0
309,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,PEO ACWA Weekly News Clips,3/13/17,Digital communications distribution,,301,,,,,,2,,,7,,,0,0,0
310,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,PEO ACWA Weekly News Clips,2/20/17,Digital communications distribution,,301,,,,,,2,,,7,,,0,0,0
311,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,PEO ACWA Weekly News Clips,2/27/17,Digital communications distribution,,301,,,,,,2,,,7,,,0,0,0
312,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,RCRA Class 1 Public Notice,2/7/17,Digital communications distribution,,,,,,,,,,,,,260,0,0,0
313,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,BGCAPP New Employee Orientation,1/9/17,Workforce event,,1,,,,,,,,,,,,1,,
314,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Economic Development Working Group,3/3/17,CAC/CDCAB (or subcommittee)/advisory board meeting,,,,1,,,,1,,,,,,0,0,0
315,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,BGCAPP Talking Points,3/1/17,Digital communications distribution,,,,,,,4,,,,,,,0,0,0
316,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Kentucky Chemical Demilitarization Citizens' Advisory Commission (CAC) and Chemical Destruction Community Advisory Board (CDCAB) Meeting Notification,3/1/17,Digital communications distribution,,16,,30,,,6,6,,,10,,,0,0,0
317,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,This Month at BGCAPP дус February 2017,2/28/17,Digital communications distribution,,1264,88,30,268,411,15,10,3,,20,252,,0,0,0
318,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Richmond City Council Meeting,2/28/17,Briefing/presentation,,3,,1,,,9,,,,,,,0,0,0
319,Individual contact,Team Member 4,3/2/17,"Name LastName, Title ",Outreach event,,Yes,The stakeholder,Digital communication,Elected official,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Individual contact,Team Member 1,3/2/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Business,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Individual contact,Team Member 4,3/2/17,"Name LastName, Title ",Outreach event,,Yes,The stakeholder,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Individual contact,Team Member 2,3/1/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Individual contact,Team Member 1,2/28/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Individual contact,Team Member 4,2/28/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Individual contact,Team Member 1,2/27/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Individual contact,Team Member 4,2/27/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Telephone,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,PEO ACWA Weekly News,2/27/17,Digital communications distribution,,301,,,,,,2,,,7,,,0,0,0
329,Social media submission,,,,,,,,,,,,,,03/01/2017 - 03/15/2017,10,10,,,,,,,,,,,,,,,,,,,,,,,,
330,Social media submission,,,,,,,,,,,,,,3/3/17,6,6,,,,Note:  March 1-31 for Women's History Month,,,,,,,,,,,,,,,,,,,,
331,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News clipping,2/28/17,Digital communications distribution,,36,,30,,,6,6,,,20,,,0,0,0
332,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News clipping - II,2/28/17,Digital communications distribution,,36,,30,,,6,6,,,20,,,0,0,0
333,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News clipping,2/26/17,Digital communications distribution,,36,,30,,,6,6,,,20,,,0,0,0
334,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Kentucky Chemical Demilitarization Citizens' Advisory Commission (CAC) and Chemical Destruction Community Advisory Board (CDCAB) Meeting Rebroadcast,3/9/17,Digital communications distribution,,35,,30,,,6,6,,,10,,,0,0,0
335,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,CAC/CDCAB,3/8/17,CAC/CDCAB (or subcommittee)/advisory board meeting,,35,,28,,,2,,,2,15,,,0,0,0
336,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,CAC/CDCAB Media Advisory,3/7/17,News release,,,,,,,,,,0,,,,0,0,0
337,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Berea City Council Meeting,3/7/17,Networking event,,3,,1,,,10,,,,,,,0,0,0
338,Individual contact,Team Member 4,3/10/17,"Name LastName, Title ",Friend/family/coworker/neighbor,,Yes,The stakeholder,Digital communication,CSEPP Protective Action Zone/Immediate Reaction Zone resident,,N/A,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Individual contact,Team Member 4,3/10/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Individual contact,Team Member 4,3/9/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Individual contact,Team Member 4,3/9/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Local school,,N/A,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Individual contact,Team Member 4,3/7/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Blue Grass Team Looks to Sister Site Toward Operations,3/8/17,News Article,,,,,,,,,,,,,0,0,0,0
344,Social media submission,,,,,,,,,,,,,,3/9/17,1,2,,,,Note: for Blue Grass Team Looks to Sister Site Toward Operations news article,,,,,,,,,,,,,,,,,,,,
345,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,"Program Executive Office, Assembled Chemical Weapons Alternatives (PEO ACWA) Weekly News Distribution",3/6/17,Digital communications distribution,,301,,,,,,2,,,7,,,0,0,0
346,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News clipping I,3/1/17,Digital communications distribution,,35,,30,,,6,6,,,25,,,0,0,0
347,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News clipping II,3/8/17,Digital communications distribution,,35,,30,,,6,6,,,25,,,0,0,0
348,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Cost Analysis and Program Evaluation Office,3/16/17,Tour,,,,,,,,,,,2,,,0,0,0
349,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Glenn Marshall Elementary School (GMES) Career Day,3/16/17,Education Outreach Event,,,,,,,,,146,,,,,0,0,0
350,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Madison County Fiscal Court Meeting,3/14/17,Networking event,,1,,,,,8,,,,,,,0,0,0
351,Individual contact,Team Member 1,3/15/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Telephone,Elected official,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Individual contact,Team Member 1,3/15/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Telephone,Elected official,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Individual contact,Team Member 1,3/15/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Telephone,Elected official,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Individual contact,Team Member 1,3/15/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Telephone,Elected official,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Individual contact,Team Member 1,3/15/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Telephone,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Individual contact,Team Member 4,3/14/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Blue Grass Management Provides Schedule Update  News Article,3/14/17,News Article,,,,,,,,,,,,,0,0,0,0
358,Social media submission,,,,,,,,,,,,,,3/13/17,1,2,,,,Note: for Blue Grass Management Provides Schedule Update news article,,,,,,,,,,,,,,,,,,,,
359,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,"Program Leader Bids Bluegrass Farewell, Offers Advice for Future News Article",3/15/17,News Article,,,,,,,,,,,,,0,0,0,0
360,Social media submission,,,,,,,,,,,,,,3/15/17,1,2,,,,"Note: for Program Leader Bids Bluegrass Farewell, Offers Advice for Future news article",,,,,,,,,,,,,,,,,,,,
361,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,PEO ACWA Weekly News Distribution,3/13/17,Digital communications distribution,,301,,,,,,2,,,7,,,0,0,0
362,Social media submission,,,,,,,,,,,,,,03/16/2017 - 03/31/2017,9,8,,,,,,,,,,,,,,,,,,,,,,,,
363,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News clipping,3/17/17,Digital communications distribution,,35,,30,,,6,6,,,20,,,0,0,0
364,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News clipping,3/14/17,Digital communications distribution,,35,,30,,,6,6,,,20,,,0,0,0
365,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Berea Victory Garden Blitz,3/24/17,Networking event,,4,,,4,,,,,,,,5,0,0,0
366,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Program Executive Officer Letter to Kentucky Chemical Demilitarization Citizens' Advisory Commission (CAC) and Chemical Destruction Community Advisory Board (CDCAB) Members,3/24/17,Digital communications distribution,,10,,30,,,,,,,,,,0,0,0
367,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Safe and Sound Radio Interview,3/22/17,Media event,,3,,,,,,1,,1,,,,0,0,0
368,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Kentucky Council on Military Affairs Executive Director,3/22/17,Briefing/presentation,,2,,,,,,,,,2,,,0,0,0
369,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Federal Emergency Management Agency (FEMA) Region IV Chief,3/20/17,Tour,,3,,,,,,1,,,,,,0,0,0
370,Individual contact,Team Member 1,3/23/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,Elected official,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Individual contact,Team Member 1,3/23/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,Elected official,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Individual contact,Team Member 4,3/24/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Telephone,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Individual contact,Team Member 2,3/21/17,"Name LastName, Title ",Friend/family/coworker/neighbor,,Yes,The stakeholder,Telephone,Business,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Blue Grass Processing Equipment Makes First Move,3/23/17,News Article,,,,,,,,,,,,,0,0,0,0
375,Social media submission,,,,,,,,,,,,,,3/23/17,1,2,,,,Note: for Blue Grass Processing Equipment Makes First Move news article,,,,,,,,,,,,,,,,,,,,
376,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Blue Grass Technicians Calibrate Plant Instrumentation,3/23/17,News Article,,,,,,,,,,,,,0,0,0,0
377,Social media submission,,,,,,,,,,,,,,3/23/17,1,2,,,,Note: for  Blue Grass Technicians Calibrate Plant Instrumentation news article,,,,,,,,,,,,,,,,,,,,
378,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,PEO ACWA Weekly News,3/20/17,Digital communications distribution,,301,,,,,,2,,,7,,,0,0,0
379,Social media submission,,,,,,,,,,,,,,3/23/17,1,,,,,Note: ad-hoc FEMA Region IV tour,,,,,,,,,,,,,,,,,,,,
380,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News clipping,3/23/17,Digital communications distribution,,35,,30,,,6,6,,,20,,,0,0,0
381,Social media submission,,,,,,,,,,,,,,3/27/17,1,1,,1,,Note: For Smoke Machine Helps Test Blue Grass Plant Ventilation System(video short),,,,,,,,,,,,,,,,,,,,
382,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Rosenwald-Dunbar Elementary School,3/31/17,Information booth/exhibit,,,,,,,,,177,,,,,0,0,0
383,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,This Month at BGCAPP дус March 2017,3/31/17,Digital communications distribution,,947,68,30,189,458,15,10,8,,25,319,,0,0,0
384,Individual contact,Team Member 4,3/31/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Individual contact,Team Member 1,3/29/17,"Name LastName, Title ",Outreach event,,Yes,The outreach team,Telephone,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Individual contact,Team Member 1,3/29/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Individual contact,Team Member 1,3/28/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Individual contact,Team Member 2,3/27/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Technicians Test Blue Grass Rocket Shear Machine,3/29/17,News Article,,,,,,,,,,,,,0,0,0,0
390,Social media submission,,,,,,,,,,,,,,3/27/17,1,2,,,,Note: for Technicians Test Blue Grass Rocket Shear Machine news article,,,,,,,,,,,,,,,,,,,,
391,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Eastern KY University presentation,3/29/17,Briefing/presentation,,7,,,,,,,35,,,,,0,0,0
392,Social media submission,,,,,,,,,,,,,,3/29/17,1,1,1,,,Note: for Blue Grass Maintenance at Work video,,,,,,,,,,,,,,,,,,,,
393,Social media submission,,,,,,,,,,,,,,3/27/17,1,1,,1,,Note: for  Smoke Machine Helps Test Blue Grass Plant Ventilation System video,,,,,,,,,,,,,,,,,,,,
394,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,"Program Executive Office, Assembled Chemical Weapons Alternatives (PEO ACWA) Weekly News Distribution",3/27/17,Digital communications distribution,,301,,,,,,2,,,7,,,0,0,0
395,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Daniel Boone Elementary School Career Day,3/30/17,Briefing/presentation,,1,,,,,,,132,,,,,0,0,0
396,Social media submission,,,,,,,,,,,,,,04/01/2017 - 04/15/2017,19,8,,,,,,,,,,,,,,,,,,,,,,,,
397,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Blue Grass Bulletin distribution,3/30/17,Digital communications distribution,,917,,,,,,,,,,,6,0,0,0
398,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,PEO ACWA Weekly News,3/6/17,Digital communications distribution,,301,,,,,,2,,,7,,,0,0,0
399,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,PEO ACWA Weekly News,3/27/17,Digital communications distribution,,301,,,,,,2,,,7,,,0,0,0
400,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News clipping,3/8/17,Digital communications distribution,,35,30,,,,6,6,,,20,,,0,0,0
401,Social media submission,,,,,,,,,,,,,,3/8/17,,,,,1,Note: for CAC/CDCAB meeting,,,,,,,,,,,,,,,,,,,,
402,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Organisation for the Prohibition of Chemical Weapons (OPCW) Executive Council (EC) Visit,4/4/17,Tour,,,,,,,,,,,48,,,0,0,0
403,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Centers for Disease Control,4/4/17,Briefing/presentation,,,,,,,,8,,,,,,0,0,0
404,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,CAC/CDCAB Meeting Summary,4/4/17,Digital communications distribution,,35,,30,,,6,6,,,15,,,0,0,0
405,Individual contact,Team Member 4,4/7/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Telephone,Elected official,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Individual contact,Team Member 4,4/7/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Individual contact,Team Member 3,4/6/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Telephone,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Individual contact,Team Member 4,4/6/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Individual contact,Team Member 2,4/5/17,"Name LastName, Title ",Outreach event,,No,The outreach team,In-person,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Individual contact,Team Member 1,4/4/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,PEO ACWA Weekly News,4/3/17,Digital communications distribution,,301,,,,,,2,,,7,,,0,0,0
412,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News Clip,4/7/17,Digital communications distribution,,35,,30,,,6,6,,,20,,,0,0,0
413,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News Clip,3/31/17,Digital communications distribution,,35,,30,,,6,6,,,20,,,0,0,0
414,Individual contact,Team Member 4,4/11/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Elected official,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Individual contact,Team Member 2,4/13/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Civic/church group member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Individual contact,Team Member 4,4/11/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Blue Grass Explosive Destruction Technology Receives Safety Approval,4/11/17,News Article,,,,,,,,,,,,,0,0,0,0
418,Social media submission,,,,,,,,,,,,,,4/11/17,1,2,,,,Note: for Blue Grass Explosive Destruction Technology Receives Safety Approval news article,,,,,,,,,,,,,,,,,,,,
419,Social media submission,,,,,,,,,,,,,,04/16/2017 - 04/30/2017,7,7,,,,,,,,,,,,,,,,,,,,,,,,
420,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,"Blue Grass, Partner Organizations Host International Ambassadors",4/10/17,News Article,,,,,,,,,,,,,0,0,0,0
421,Social media submission,,,,,,,,,,,,,,4/10/17,1,2,,,,"Note: for Blue Grass, Partner Organizations Host International Ambassadors news article",,,,,,,,,,,,,,,,,,,,
422,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News clipping,4/10/17,Digital communications distribution,,35,,30,,,6,6,,,20,,,0,0,0
423,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,University of Kentucky class presentation,4/14/17,Education Outreach Event,,4,,,,,,,15,,,,,0,0,0
424,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Junior Achievement of the Bluegrass recognition,4/12/17,Networking event,,1,20,,5,,,,20,,,,,0,0,0
425,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Bluegrass Tomorrow Idea Festival,4/19/17,Information packet distribution,,2,,,,,,,86,,,,,0,0,0
426,Individual contact,Team Member 1,4/19/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Individual contact,Team Member 1,4/17/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Telephone,Oversight/regulatory agency member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Individual contact,Team Member 1,4/18/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,Oversight/regulatory agency member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Individual contact,Team Member 3,4/17/17,"Name LastName, Title ",Outreach event,,Yes,The outreach team,Digital communication,Civic/church group member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,"Blue Grass, Partner Organizations Host International Ambassadors",4/19/17,News Article,,,,,,,,,,,,,0,0,0,0
431,Social media submission,,,,,,,,,,,,,,4/19/17,1,2,0,0,0,"Note: for Blue Grass, Partner Organizations Host International Ambassadors news article",,,,,,,,,,,,,,,,,,,,
432,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Presentation: Kentucky Chemical Stockpile Emergency Preparedness Program (CSEPP) Integrated Process Team (IPT) Meeting,4/19/17,Briefing/presentation,,,,,,,,10,,,,,,0,0,0
433,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,PEO ACWA Weekly News Distribution,4/17/17,Digital communications distribution,,301,,,,,,2,,,7,,,0,0,0
434,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,PEO ACWA Weekly News Distribution,4/10/17,Digital communications distribution,,301,,,,,,2,,,7,,,0,0,0
435,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Richmond Main Street Clean Sweep,4/21/17,Networking event,,8,25,,3,,,,,,,,,0,0,0
436,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Bluegrass Tomorrow Idea Fest,4/19/17,Networking event,,4,,,,,,,86,,,,,0,0,0
437,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Dr. James McChesney Memorial Scholarship Golf event,4/28/17,Networking event,,6,,,,,,,10,,,,,0,0,0
438,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Relay for Life meeting,4/24/17,Networking event,,1,5,,,,,,,,,5,,0,0,0
439,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Blue Grass Bulletin newsletter,4/27/17,Digital communications distribution,,878,,,,,,,,,,,6,0,0,0
440,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,This Month at BGCAPP дус April 2017,4/28/17,Digital communications distribution,,1209,28,30,489,,15,12,3,,26,291,,0,0,0
441,Individual contact,Team Member 2,4/28/17,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Individual contact,Team Member 2,4/27/17,"Name LastName, Title ",Outreach event,,Yes,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Individual contact,Team Member 1,4/25/17,"Name LastName, Title ",Outreach event,,No,The outreach team,Telephone,Oversight/regulatory agency member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Social media submission,,,,,,,,,,,,,,4/29/17,,,,1,,Note: for Organisation for the Prohibition of Chemical Weapons Visits Kentucky video short,,,,,,,,,,,,,,,,,,,,
