Response ID,Select which type of data to enter:,Outreach team member:,Date of contact:,Stakeholder's name and title:,How did they hear about the program?,Other (please specify):How did they hear about the program?,Is this stakeholder a new contact?,Who initiated the contact?,Method of interaction:,Stakeholder type:,Other (please specify)::Stakeholder type:,Was a feedback form distributed?:Complete the following:,Did the stakeholder request information?:Complete the following:,Was the stakeholder given program materials during the interaction?:Complete the following:,Date range of submission(s):,Facebook posts:Number of social media postings submitted:,Tweets:Number of social media postings submitted:,Full-length videos:Number of social media postings submitted:,Digital shorts:Number of social media postings submitted:,Livestreaming:Number of social media postings submitted:,Name of video (if applicable):,Outreach team member:,Name of event or distribution:,Date of event or distribution:,Event or distribution type:,Other (please specify):Event or distribution type:,Business & economic development group members:Number of participants:,CAC/Working Group members:Number of participants:,Citizen board/commission members:Number of participants:,Community advocacy/Non-profit:Number of participants:,Elected and Government-appointed officials:Number of participants:,Emergency management:Number of participants:,Community members:Number of participants:,Education community:Number of participants:,Media:Number of participants:,Oversight/regulatory agency members:Number of participants:,Workforce:Number of participants:,Other:Number of participants:,Number:Information packets distributed:Complete the following:,Number:Feedback forms distributed:Complete the following:,Number:Feedback forms collected:Complete the following:
316,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,2/13/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
317,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,2/14/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
318,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,2/15/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
319,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,2/16/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
320,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,PWG Meeting,2/22/17,CAC (or CAC subcommittee)/advisory board meeting,,,4,,,,,5,,,16,,,0,0,0
321,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,BUG Meeting,2/22/17,CAC (or CAC subcommittee)/advisory board meeting,,,4,,,,,5,,,16,,,0,0,0
322,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,2/21/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
323,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,2/22/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
324,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,2/23/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
325,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 6,Education Outreach: Swallows Charter Academy,2/23/17,Education outreach event,,,,,,,,,39,,,,,0,1,1
326,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,2/27/17,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
327,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Pueblo County Sheriff's Polar Plunge for Special Olympics,2/25/17,Networking event,,,,,,,130,80,,,,,,0,0,0
328,Social media posting submission,,,,,,,,,,,,,,2/22/17,,,,,1,February 2017 CAC Meeting,,,,,,,,,,,,,,,,,,,,
330,Individual contact,Team Member 2,2/9/17,"name lastname, titles",Don't know - did not ask,,Yes,The stakeholder,Outreach office visitor/walk-in,Local community member,,N/A,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Individual contact,Team Member 2,2/9/17,"name lastname, titles",Don't know - did not ask,,Yes,The stakeholder,Outreach office visitor/walk-in,Local community member,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Individual contact,Team Member 2,2/9/17,"name lastname, titles",Outreach event,,No,The outreach team,Digital communication,Emergency management,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Individual contact,Team Member 2,2/9/17,"name lastname, titles",Don't know - did not ask,,No,The stakeholder,Outreach office visitor/walk-in,CAC member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Individual contact,Team Member 2,2/6/17,"name lastname, titles",Friend/family/coworker/neighbor,,No,The stakeholder,Telephone,Business & economic development group member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,2/9/17,Digital communications distribution,,,1,,,1,4,,,,15,46,,0,0,0
336,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,2/27/17,Digital communications distribution,,,1,,,1,4,,,,15,46,,0,0,0
337,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Welcome Message to new employees,2/1/17,Workforce event,,,,,,,,,,,,2,,2,0,0
338,Individual contact,Team Member 1,2/1/17,"name lastname, titles",Don't know - did not ask,,No,The stakeholder,Digital communication,Media,,No,Yes,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Individual contact,Team Member 1,3/2/17,"name lastname, titles",Don't know - did not ask,,No,The outreach team,Digital communication,CAC member,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Pueblo West Women's League Tour,2/17/17,Tour,,,,,,,,45,,,,1,,0,45,40
341,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Welcome Message to new employees,2/15/17,Workforce event,,,,,,,,,,,,6,,6,0,0
342,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Southern Colorado Press Club Monthly Membership Luncheon,2/14/17,Networking event,,26,,,,,,4,5,3,,2,,0,0,0
343,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Swallows Academy Tour,2/24/17,Tour,,,,,,,,53,2,,,1,,0,0,0
344,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Southen Colorado Board of Directors Meeting,2/24/17,Networking event,,4,,,,,,,,2,,1,,0,0,0
345,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Pueblo Cooperative Care Board of Directors Meeting,2/23/17,Networking event,,,,,7,,,,,,,1,,0,0,0
346,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Public Meetings for permit mods,2/22/17,Public meeting,,,4,,,,,4,,,,15,,0,0,0
347,Individual contact,Team Member 1,2/23/17,"name lastname, titles",Don't know - did not ask,,No,The outreach team,Direct mail,Media,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Individual contact,Team Member 1,2/21/17,"name lastname, titles",Don't know - did not ask,,No,The stakeholder,In-person,Community advisory group member,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Individual contact,Team Member 1,2/21/17,"name lastname, titles",Don't know - did not ask,,No,The stakeholder,Digital communication,Media,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,CAC Meeting,3/22/17,CAC (or CAC subcommittee)/advisory board meeting,,2,5,1,,,1,7,,,2,19,,0,0,0
351,Social media posting submission,,,,,,,,,,,,,,03/16/2017-03/31/2017,12,11,,,,,,,,,,,,,,,,,,,,,,,,
352,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,This Month at PCAPP: Feb. 2017,2/28/17,Digital communications distribution,,85,8,55,55,25,45,969,6,6,45,1935,,0,0,0
353,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,news article: Hell Test Anticipates Plant Washout System Failures,2/28/17,News article,,,,,,,,,,,,,0,0,0,0
354,Social media posting submission,,,,,,,,,,,,,,2/28/17,1,2,,,,,,,,,,,,,,,,,,,,,,,,
355,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 6,Education Outreach: Swallows Charter Academy,2/23/17,Education outreach event,,,,,,,,,20,,,,,0,0,0
356,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 6,Education Outreach: John Neumann (1),3/2/17,Education outreach event,,,,,,,,,20,,,,,0,1,1
357,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 6,Education Outreach: John Neumann (2),3/2/17,Education outreach event,,,,,,,,,15,,,,,0,0,0
358,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 6,Education Outreach: John Neumann (3),3/2/17,Education outreach event,,,,,,,,,13,,,,,0,0,0
359,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,3/6/17,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
360,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,2/27/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
361,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,2/28/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
362,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,2/28/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
363,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,3/2/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
364,Individual contact,Team Member 5,2/27/17,"name lastname, titles",Other (please specify),Online E-zine,Yes,The stakeholder,Telephone,Media,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Pueblo Chamber of Commerce Presentation,3/9/17,Briefing/update,,109,,,,,,,,1,,,,0,0,0
366,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,3/13/17,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
367,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,3/6/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
368,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,3/7/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
369,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,3/8/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
370,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,3/9/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
371,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Colorado State Patrol HAZMAT Unit Presentation,3/15/17,Briefing/update,,,,,,,6,,,,,,,6,6,6
372,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Colorado State Patrol HAZMAT,3/15/17,Tour,,,,,,,6,,,,,,,0,0,0
373,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,3/20/17,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
374,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,3/13/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
375,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,3/14/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
376,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,3/15/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
377,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,3/16/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
378,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,3/27/17,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
379,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,3/20/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
380,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,3/21/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
381,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,3/22/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
382,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,3/23/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
383,Social media posting submission,,,,,,,,,,,,,,3/27/17,1,1,,1,,PCAPP Staff Takes a Walk for Safety,,,,,,,,,,,,,,,,,,,,
384,Social media posting submission,,,,,,,,,,,,,,3/27/17,1,1,1,,,Trained Workforce Overcomes Obstacles at Colorado Plant,,,,,,,,,,,,,,,,,,,,
385,Social media posting submission,,,,,,,,,,,,,,3/23/17,1,1,,1,,Women's History Month: Kim Jackson,,,,,,,,,,,,,,,,,,,,
387,Individual contact,Team Member 3,3/6/17,"name lastname, titles",Outreach event,,No,The stakeholder,Telephone,Business & economic development group member,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Social media posting submission,,,,,,,,,,,,,,04/01/2017-04/15/3017,10,10,,,,,,,,,,,,,,,,,,,,,,,,
389,Social media posting submission,,,,,,,,,,,,,,04/16/2017-04/30/2017,17,6,,,,,,,,,,,,,,,,,,,,,,,,
390,Social media posting submission,,,,,,,,,,,,,,3/29/17,,,,,1,CAC Meeting_30March2017,,,,,,,,,,,,,,,,,,,,
392,Individual contact,Team Member 5,3/31/17,"name lastname, titles",Other (please specify),News Article online,Yes,The stakeholder,Telephone,Citizen board/Commission member,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Individual contact,Team Member 5,3/31/17,"name lastname, titles",Don't know - did not ask,,No,The stakeholder,Telephone,Media,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Individual contact,Team Member 5,3/31/16,"name lastname, titles",Other (please specify),Online News Item,Yes,The stakeholder,Digital communication,Media,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Individual contact,Team Member 5,4/2/17,"name lastname, titles",Other (please specify),Online News Item,Don't know,The stakeholder,Digital communication,Media,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,4/3/17,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
397,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,3/27/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
398,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Communicator,3/28/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
399,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,3/29/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
400,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,3/30/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
401,Social media posting submission,,,,,,,,,,,,,,3/24/17,1,2,,,,,,,,,,,,,,,,,,,,,,,,
402,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,CAC Meeting,3/29/17,CAC (or CAC subcommittee)/advisory board meeting,,1,8,1,,1,2,8,,2,2,30,,0,0,0
403,Individual contact,Team Member 2,2/27/17,"name lastname, titles",Friend/family/coworker/neighbor,,No,The stakeholder,Digital communication,Emergency management,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,3/2/17,Digital communications distribution,,,1,,,1,4,,,,15,46,,0,0,0
405,Individual contact,Team Member 3,3/29/17,"name lastname, titles",Outreach event,,No,The outreach team,In-person,Elected official,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Individual contact,Team Member 2,3/8/17,"name lastname, titles",Friend/family/coworker/neighbor,,No,The outreach team,Digital communication,Business & economic development group member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,new article: Program Leader Offers Words of Gratitude to Pueblo Community,3/30/17,News article,,,,,,,,,,,,,0,0,0,0
409,Individual contact,Team Member 2,3/6/17,"name lastname, titles",Friend/family/coworker/neighbor,,No,The stakeholder,Digital communication,Emergency management,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Social media posting submission,,,,,,,,,,,,,,3/30/17,1,2,,,,,,,,,,,,,,,,,,,,,,,,
411,Social media posting submission,,,,,,,,,,,,,,4/28/17,2,2,,,,,,,,,,,,,,,,,,,,,,,,
413,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,This Month of PCAPP: March 2017,3/31/17,Digital communications distribution,,75,8,45,45,25,45,627,6,6,45,1100,,0,0,0
414,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Tour Documents: CSP HAZMAT,3/7/17,Digital communications distribution,,,,,,,7,,,,,,,0,0,0
415,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,3/9/17,Digital communications distribution,,,1,,,1,4,,,,15,46,,0,0,0
416,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,3/8/17,Digital communications distribution,,,1,,,1,4,,,,15,46,,0,0,0
417,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Thank you for touring PCAPP message,3/16/17,Digital communications distribution,,,,,,,7,,,,,,,0,0,0
418,Individual contact,Team Member 2,3/16/17,"name lastname, titles",Advertisement,,Yes,The stakeholder,Outreach office visitor/walk-in,Local community member,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,3/14/17,Digital communications distribution,,,1,,,1,4,,,,15,46,,0,0,0
420,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,CAC Live Stream Video,3/30/17,Digital communications distribution,,,9,,,,1,,,,2,19,,0,0,0
421,Individual contact,Team Member 2,3/31/17,"name lastname, titles",Friend/family/coworker/neighbor,,No,The outreach team,Direct mail,CAC member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Individual contact,Team Member 2,3/30/17,"name lastname, titles",Friend/family/coworker/neighbor,,No,The outreach team,Digital communication,Emergency management,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,3/28/17,Digital communications distribution,,,1,,,1,4,,,,15,46,,0,0,0
424,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,3/29/17,Digital communications distribution,,,1,,,1,4,,,,15,46,,0,0,0
425,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,3/31/17,Digital communications distribution,,,1,,,1,4,,,,15,46,,0,0,0
427,Individual contact,Team Member 2,3/22/17,"name lastname, titles",Friend/family/coworker/neighbor,,Yes,The stakeholder,Outreach office visitor/walk-in,Local community member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Individual contact,Team Member 2,3/23/17,"name lastname, titles",Advertisement,,Yes,The stakeholder,Outreach office visitor/walk-in,Local community member,,N/A,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Individual contact,Team Member 2,3/24/17,"name lastname, titles",Friend/family/coworker/neighbor,,Yes,The stakeholder,Outreach office visitor/walk-in,PCAPP workforce member,,N/A,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Individual contact,Team Member 2,3/31/17,"name lastname, titles",Friend/family/coworker/neighbor,,Yes,The stakeholder,Outreach office visitor/walk-in,Local community member,,N/A,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,news article: Pin Campaign Encourages Use of Workplace Ground Rules,3/24/17,News article,,,,,,,,,,,,,0,0,0,0
432,Social media posting submission,,,,,,,,,,,,,,3/6/17,1,2,,,,,,,,,,,,,,,,,,,,,,,,
433,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,news article: Ordnance Technician Laid Foundation for Current Job,3/6/17,News article,,,,,,,,,,,,,0,0,0,0
434,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Permit Mod Public Meetings,3/29/17,Public meeting,,,4,,,,,4,,,4,15,,0,0,0
435,Individual contact,Team Member 1,3/30/17,"name lastname, titles",Don't know - did not ask,,No,The stakeholder,Digital communication,Media,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,Individual contact,Team Member 1,3/29/17,"name lastname, titles",Newspaper,,Yes,The stakeholder,In-person,Local community member,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Individual contact,Team Member 1,3/28/17,"name lastname, titles",Other (please specify),Ars Technica article,Yes,The stakeholder,Digital communication,Media,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,SCPC Board of Directors Meeting,3/16/17,Networking event,,4,,,,,,2,,2,,1,,0,0,0
439,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Southern Colorado Press Club Monthly Membership Luncheon,3/14/17,Networking event,,18,,,,,,,,4,,2,,0,0,0
440,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Chamber presentation,3/9/17,Briefing/update,,100,,,,2,,,5,,,3,,0,0,0
441,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Southern Colorado Press Club Board of Directors Meeting,3/8/17,Networking event,,1,,,,,,,,2,,1,,0,0,0
442,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,CSU-Pueblo Grad Fair,3/8/17,Networking event,,,,,,,,,30,,,1,,0,0,0
443,Individual contact,Team Member 1,3/9/17,"name lastname, titles",Don't know - did not ask,,No,The outreach team,Digital communication,CAC member,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,CSU-Pueblo Alumni Board of Directors Meeting,3/3/17,Networking event,,5,,,,,,5,,,,1,,0,0,0
445,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,New Site Worker,3/1/17,Workforce event,,,,,,,,,,,,1,,1,0,0
446,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Risk Communications Network Meeting,2/28/17,Networking event,,21,1,,,2,20,,3,,1,2,,0,0,0
447,Individual contact,Team Member 1,2/28/17,"name lastname, titles",Don't know - did not ask,,Yes,The stakeholder,In-person,Elected official,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Individual contact,Team Member 1,2/28/17,"name lastname, titles",Don't know - did not ask,,No,The outreach team,Digital communication,CAC member,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Individual contact,Team Member 1,2/27/17,"name lastname, titles",Don't know - did not ask,,No,The stakeholder,Fax,Media,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Individual contact,Team Member 2,3/22/17,"name lastname, titles",Friend/family/coworker/neighbor,,No,The outreach team,Digital communication,CAC member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,3/24/17,Digital communications distribution,,,1,,,1,4,,,,15,46,,0,0,0
452,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,3/21/17,Digital communications distribution,,,1,,,1,4,,,,15,46,,0,0,0
453,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,History (Channel),1/9/17,Media event,,,,,,,,,,4,,,,0,0,0
454,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Ars Technica,2/27/17,Media event,,,,,,,,,,1,,,,0,0,0
455,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Risk Communications Network Quarterly Meeting,2/28/17,Networking event,,,1,,,1,40,,,,8,,,0,0,0
458,Social media posting submission,,,,,,,,,,,,,,3/16/17,,,,1,,Reject Munitions Short_v2,,,,,,,,,,,,,,,,,,,,
459,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 6,Pueblo Remembers WWI- Weisbrod Aircraft Museum,4/8/17,Information booth/exhibit,,,,,,,,35,,,,,,2,0,0
460,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,4/10/17,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
461,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,4/3/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
462,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,4/4/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
463,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,4/5/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
464,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,4/6/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
465,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Colorado State CSEPP IPT,4/12/17,Briefing/update,,,,,,,29,,,,,,,0,0,0
467,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,4/17/17,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
468,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,4/10/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
469,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,4/11/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
470,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,4/12/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
471,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,4/13/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
472,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,4/24/17,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
473,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,4/17/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
474,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,4/18/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
475,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,4/19/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
476,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,4/20/17,Workforce event,,,,,,,,,,,,1300,,0,0,0
477,Individual contact,Team Member 5,4/26/17,"name lastname, titles",Don't know - did not ask,,No,The outreach team,In-person,CAC member,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Individual contact,Team Member 5,4/26/17,"name lastname, titles",Don't know - did not ask,,Yes,The outreach team,In-person,Local community member,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Social media posting submission,,,,,,,,,,,,,,05/01/2017-05/15/2017,15,15,,,,,,,,,,,,,,,,,,,,,,,,
480,Individual contact,Team Member 3,4/14/17,"name lastname, titles",Outreach event,,No,The stakeholder,Digital communication,Oversight/regulatory agency member,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Individual contact,Team Member 3,4/13/17,"name lastname, titles",Outreach event,,No,The stakeholder,Digital communication,Emergency management,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,news article: Secondary Containment System Liner Replaced at Pueblo Plant,4/15/17,News article,,,,,,,,,,,,,0,0,0,0
